country,increase
Afghanistan,0.2857142857142857
Albania,0.03958333333333333
Algeria,0.11917393245166277
Andorra,-inf
Angola,-inf
Antigua and Barbuda,
Argentina,0.2849893162393162
Armenia,-inf
Australia,0.17977335164835165
Austria,0.12434353051565454
Azerbaijan,-8.239583333333334
Bahamas,-inf
Bahrain,0.26041666666666663
Bangladesh,-0.02708333333333334
Barbados,-inf
Belarus,
Belgium,0.30733196723413153
Belize,-inf
Benin,
Bhutan,
Bolivia,
Bosnia,0.26458333333333334
Brazil,0.29757024756076517
Brunei,-inf
Bulgaria,0.15476190476190477
Burkina Faso,-0.14592352092352093
Cabo Verde,-inf
Cambodia,-inf
Cameroon,0.375
Canada,0.24291831494808197
Central African Republic,-inf
Chad,
Chile,0.35
China,0.12629264485004407
Colombia,-inf
Congo,-0.45833333333333337
Costa Rica,-0.25
Cote d'Ivoire,-inf
Croatia,0.2583333333333333
Cuba,-0.3958333333333333
Cyprus,-inf
Czechia,-inf
Denmark,0.1879091481808483
Diamond Princess,-0.865625
Djibouti,-inf
Dominica,
Dominican Republic,0.3773809523809524
Ecuador,-0.1783380018674136
Egypt,-0.3327302631578948
El Salvador,-inf
Equatorial Guinea,
Eritrea,
Estonia,0.25
Eswatini,-inf
Ethiopia,
Fiji,
Finland,0.3218253968253968
France,0.28260292359515765
Gabon,-289.5
Gambia,-inf
Georgia,-inf
Germany,0.30681303144728334
Ghana,-53.85
Greece,0.18219360296566176
Grenada,-inf
Guatemala,0.125
Guinea,-inf
Guinea-Bissau,
Guyana,0.125
Haiti,-inf
Honduras,0.3333333333333333
Hungary,0.20491522366522363
Iceland,-1.1875
India,0.24523809523809528
Indonesia,0.15811186900673738
Iran,0.17488519416537665
Iraq,-18.27740144866876
Ireland,-1.3750023733576364
Israel,-4.153125
Italy,0.21140589813735577
Jamaica,-1252.75
Japan,0.168792705345368
Jordan,-inf
Kazakhstan,-inf
Kenya,-inf
Kuwait,-inf
Kyrgyzstan,
Laos,
Latvia,
Lebanon,0.19791666666666666
Liberia,-inf
Libya,
Liechtenstein,
Lithuania,0.3107142857142857
Luxembourg,0.10034722222222221
MS Zaandam,-inf
Madagascar,
Malaysia,0.3116963400930793
Maldives,-inf
Mali,
Malta,
Mauritania,
Mauritius,0.1875
Mexico,0.19166666666666662
Moldova,-1.3125
Monaco,-inf
Mongolia,
Montenegro,0.16666666666666666
Morocco,0.2924522397891963
Mozambique,-inf
Myanmar,
Namibia,
Nepal,
Netherlands,0.2973337370771432
New Zealand,-inf
Nicaragua,0.5
Niger,-inf
Nigeria,-inf
North Macedonia,-inf
Norway,0.1843957720387926
Oman,-inf
Pakistan,0.2763483044733045
Panama,-1.1393849206349207
Papua New Guinea,-inf
Paraguay,0.22916666666666666
Peru,0.1752818362193362
Philippines,0.16306422249920702
Poland,-1.4334325396825396
Portugal,0.16295119779640296
Qatar,-inf
Romania,-inf
Russia,-4.385416666666667
Rwanda,-inf
S. Korea,0.16676803083602265
Saint Kitts and Nevis,-inf
Saint Lucia,
Saint Vincent and the Grenadines,
San Marino,0.13663419913419914
Saudi Arabia,-inf
Senegal,-inf
Serbia,0.23768939393939392
Seychelles,-inf
Singapore,0.125
Slovakia,-inf
Slovenia,0.34791666666666665
Somalia,-inf
South Africa,0.5
Spain,0.2899524963512357
Sri Lanka,-inf
Sudan,0.0
Suriname,-inf
Sweden,0.2992501629195178
Switzerland,0.09176851066669961
Syria,-inf
Taiwan,0.125
Tanzania,-inf
Thailand,0.26458333333333334
Timor-Leste,-inf
Togo,0.5
Trinidad and Tobago,-inf
Tunisia,-0.05833333333333336
Turkey,0.24498657346299205
UAE,-6.625
UK,0.2886721808464757
USA,-0.08415450960603293
Uganda,-inf
Ukraine,0.23055555555555554
Uruguay,-inf
Uzbekistan,0.75
Vatican City,-inf
Venezuela,0.75
Vietnam,-inf
West Bank and Gaza,0.3333333333333333
Zambia,-inf
Zimbabwe,0.16666666666666666
